filename,box,class
S2-N0503M00001.jpg,"[806, 0, 856, 1080]",29
S2-N0503M00001.jpg,"[1131, 0, 1195, 1080]",29
S2-N0503M00001.jpg,"[1578, 0, 1667, 1080]",29
S2-N0503M00002.jpg,"[267, 353, 1920, 789]",31
S2-N0503M00003.jpg,"[283, 430, 701, 703]",31
S2-N0503M00003.jpg,"[828, 456, 1402, 736]",31
S2-N0503M00004.jpg,"[252, 395, 728, 714]",31
S2-N0503M00004.jpg,"[872, 429, 1675, 704]",31
S2-N0503M00006.jpg,"[209, 360, 759, 748]",31
S2-N0503M00006.jpg,"[907, 390, 1920, 828]",31
S2-N0503M00007.jpg,"[172, 315, 775, 827]",31
S2-N0503M00007.jpg,"[908, 293, 1920, 933]",31
S2-N0503M00008.jpg,"[93, 273, 763, 812]",31
S2-N0503M00008.jpg,"[916, 250, 1920, 912]",31
S2-N0503M00009.jpg,"[82, 250, 798, 779]",31
S2-N0503M00009.jpg,"[1010, 264, 1890, 772]",31
S2-N0503M00011.jpg,"[40, 389, 1331, 930]",31
S2-N0503M00012.jpg,"[625, 0, 1873, 1049]",31
S2-N0503M00012.jpg,"[272, 341, 489, 810]",31
S2-N0503M00012.jpg,"[120, 477, 201, 732]",31
S2-N0503M00013.jpg,"[682, 0, 1920, 1080]",31
S2-N0503M00013.jpg,"[321, 302, 519, 916]",31
S2-N0503M00014.jpg,"[650, 181, 1916, 1079]",31
S2-N0503M00014.jpg,"[275, 417, 457, 889]",31
S2-N0503M00015.jpg,"[730, 0, 1920, 1080]",31
S2-N0503M00015.jpg,"[303, 248, 523, 941]",31
S2-N0503M00016.jpg,"[1238, 14, 1920, 1080]",31
S2-N0503M00016.jpg,"[798, 295, 1011, 824]",31
S2-N0503M00017.jpg,"[1702, 227, 1920, 925]",31
S2-N0503M00017.jpg,"[1551, 507, 1628, 807]",31
S2-N0503M00018.jpg,"[1170, 303, 1920, 1080]",31
S2-N0503M00018.jpg,"[0, 0, 967, 1080]",31
S2-N0503M00019.jpg,"[0, 0, 1099, 1080]",31
S2-N0503M00019.jpg,"[1572, 33, 1920, 1080]",31
S2-N0503M00020.jpg,"[1093, 0, 1920, 1080]",31
S2-N0503M00020.jpg,"[0, 0, 303, 1080]",31
S2-N0503M00021.jpg,"[218, 0, 1920, 1080]",31
S2-N0503M00022.jpg,"[468, 127, 1365, 1080]",31
S2-N0503M00024.jpg,"[198, 559, 393, 1019]",31
S2-N0503M00024.jpg,"[536, 3, 1920, 1080]",31
S2-N0503M00025.jpg,"[596, 0, 1920, 1080]",31
S2-N0503M00025.jpg,"[198, 577, 388, 1023]",31
